sample,records,n_parameters,dispersion_df,exposure,observed_claims,expected_claims,observed_frequency,expected_frequency,total_oe_ratio,poisson_deviance,mean_poisson_deviance,pearson_chi_square,pearson_dispersion,deviance_dispersion,mean_pearson_residual,std_pearson_residual,mean_deviance_residual,std_deviance_residual,mean_quantile_residual,std_quantile_residual,q025_quantile_residual,median_quantile_residual,q975_quantile_residual
train,20000,13,19987,11018.78,924,924.0,0.083857,0.083857,1.0,5349.020485,0.267451,20277.568101,1.014538,0.267625,0.001993,1.006938,-0.181015,0.484455,0.000361,1.001967,-1.965305,0.005781,1.966158
test,5000,13,4987,2732.69,234,233.55,0.08563,0.085467,1.00191,1371.95584,0.274391,5443.135465,1.091465,0.275106,0.006338,1.043458,-0.18105,0.49159,-0.009438,1.002673,-1.914581,-0.031203,2.020193
